aktinium;Ac
selenid osmičitý;OsSe2
selenid platičitý;PtSe2
selenid plutonatý;PuSe
selenid plutonitý;Pu2Se3
selenid rtuťnatý;HgSe
selenid rutheničitý;RuSe2
selenid sodný;Na2Se
selenid strontnatý;SrSe
selenid stříbrný;Ag2Se
selenid thallný;Tl2Se
selenid uhličitý;CSe2
selenid vápenatý;CaSe
selenid zinečnatý;ZnSe
selenid zirkoničitý;ZrSe2
seskvihydrát uhličitanu draselného;K2CO3.3/2H2O
seskvihydrát uhličitanu didraselného;
seskvihydrát trioxouhličitanu draselného;
seskvihydrát trioxouhličitanu didraselného;
silan;SiH4
silicid dikobaltu;Co2Si
silicid dimanganu;Mn2Si
silicid ditantalu;Ta2Si
silicid divápníku;Ca2Si
silicid hexaboru;B6Si
silicid chromu;CrSi
silicid kobaltu;CoSi
silicid manganu;MnSi
silicid tetraniobu;Nb4Si
silicid triboru;B3Si
silicid vápníku;CaSi
síra;S
síran amonno-olovnatý;(NH4)2Pb(SO4)2
síran amonný;(NH4)2SO4
síran diamonný;
tetraoxosíran amonný;
tetraoxosíran diamonný;
síran antimonitý;Sb2(SO4)3
síran diantimonitý;
tetraoxosíran antimonitý;
tetraoxosíran diantimonitý;
tris(síran) antimonitý;
tris(síran) diantimonitý;
síran barnatý;BaSO4
tetraoxosíran barnatý;
síran beryllnatý;BeSO4
tetraoxosíran beryllnatý;
síran bismutitý;Bi2(SO4)3
síran dibismutitý;
tetraoxosíran bismutitý;
tetraoxosíran dibismutitý;
tris(síran) bismutitý;
tris(síran) dibismutitý;
síran ceričitý;Ce(SO4)2
tetraoxosíran ceričitý;
bis(síran) ceričitý;
síran ceritý;Ce2(SO4)3
síran diceritý;
tetraoxosíran ceritý;
tetraoxosíran diceritý;
tris(síran) ceritý;
tris(síran) diceritý;
síran cesný;Cs2SO4
síran dicesný;
tetraoxosíran cesný;
tetraoxosíran dicesný;
síran cínatý;SnSO4
tetraoxosíran cínatý;
síran draselno-hlinitý;KAl(SO4)2
síran draselno-chromitý;KCr(SO4)2
síran draselno-manganatý;K2Mn(SO4)2
síran draselný;K2SO4
síran didraselný;
tetraoxosíran draselný;
tetraoxosíran didraselný;
síran erbitý;Er2(SO4)3
síran dierbitý;
tetraoxosíran erbitý;
tetraoxosíran dierbitý;
tris(síran) erbitý;
tris(síran) dierbitý;
síran europnatý;EuSO4
tetraoxosíran europnatý;
síran gadolinitý;Gd2(SO4)3
síran digadolinitý;
tetraoxosíran gadolinitý;
tetraoxosíran digadolinitý;
tris(síran) gadolinitý;
tris(síran) digadolinitý;
síran hlinitý;Al2(SO4)3
síran dihlinitý;
tetraoxosíran hlinitý;
tetraoxosíran dihlinitý;
tris(síran) hlinitý;
tris(síran) dihlinitý;
síran hořečnatý;MgSO4
tetraoxosíran hořečnatý;
síran chromitý;Cr2(SO4)3
síran dichromitý;
tetraoxosíran chromitý;
tetraoxosíran dichromitý;
tris(síran) chromitý;
tris(síran) dichromitý;
síran inditý;In2(SO4)3
síran diinditý;
tetraoxosíran inditý;
tetraoxosíran diinditý;
tris(síran) inditý;
tris(síran) diinditý;
síran kademnatý;CdSO4
tetraoxosíran kademnatý;
síran kobaltnatý;CoSO4
tetraoxosíran kobaltnatý;
síran lanthanitý;La2(SO4)3
síran dilanthanitý;
tetraoxosíran lanthanitý;
tetraoxosíran dilanthanitý;
tris(síran) lanthanitý;
tris(síran) dilanthanitý;
síran lithný;Li2SO4
síran dilithný;
tetraoxosíran lithný;
tetraoxosíran dilithný;
síran manganitý;Mn2(SO4)3
síran dimanganitý;
tetraoxosíran manganitý;
tetraoxosíran dimanganitý;
tris(síran) manganitý;
tris(síran) dimanganitý;
síran měďnatý;CuSO4
tetraoxosíran měďnatý;
síran měďný;Cu2SO4
síran diměďný;
tetraoxosíran měďný;
tetraoxosíran diměďný;
síran nikelnatý;NiSO4
tetraoxosíran nikelnatý;
síran olovnatý;PbSO4
tetraoxosíran olovnatý;
síran poloničitý;Po(SO4)2
tetraoxosíran poloničitý;
bis(síran) poloničitý;
síran praseodymitý;Pr2(SO4)3
síran dipraseodymitý;
tetraoxosíran praseodymitý;
tetraoxosíran dipraseodymitý;
tris(síran) praseodymitý;
tris(síran) dipraseodymitý;
síran radijnatý;RaSO4
tetraoxosíran radijnatý;
síran rtuťnatý;HgSO4
tetraoxosíran rtuťnatý;
síran rtuťný;Hg2SO4
síran dirtuťný;
tetraoxosíran rtuťný;
tetraoxosíran dirtuťný;
síran rubidný;Rb2SO4
síran dirubidný;
tetraoxosíran rubidný;
tetraoxosíran dirubidný;
síran skanditý;Sc2(SO4)3
síran diskanditý;
tetraoxosíran skanditý;
tetraoxosíran diskanditý;
tris(síran) skanditý;
tris(síran) diskanditý;
síran sodný;Na2SO4
síran disodný;
tetraoxosíran sodný;
tetraoxosíran disodný;
síran strontnatý;SrSO4
tetraoxosíran strontnatý;
síran stříbrný;Ag2SO4
síran distříbrný;
tetraoxosíran stříbrný;
tetraoxosíran distříbrný;
síran thallitý;Tl2(SO4)3
síran dithallitý;
tetraoxosíran thallitý;
tetraoxosíran dithallitý;
tris(síran) thallitý;
tris(síran) dithallitý;
síran thallný;Tl2SO4
síran dithallný;
tetraoxosíran thallný;
tetraoxosíran dithallný;
síran thoričitý;Th(SO4)2
tetraoxosíran thoričitý;
bis(síran) thoričitý;
síran uraničitý;U(SO4)2
tetraoxosíran uraničitý;
bis(síran) uraničitý;
síran uranylu;UO2SO4
síran vápenatý;CaSO4
tetraoxosíran vápenatý;
síran ytterbitý;Yb2(SO4)3
síran diytterbitý;
tetraoxosíran ytterbitý;
tetraoxosíran diytterbitý;
tris(síran) ytterbitý;
tris(síran) diytterbitý;
síran yttritý;Y2(SO4)3
síran diyttritý;
tetraoxosíran yttritý;
tetraoxosíran diyttritý;
tris(síran) yttritý;
tris(síran) diyttritý;
síran zinečnatý;ZnSO4
tetraoxosíran zinečnatý;
síran zirkoničitý;Zr(SO4)2
tetraoxosíran zirkoničitý;
bis(síran) zirkoničitý;
síran železitý;Fe2(SO4)3
síran diželezitý;
tetraoxosíran železitý;
tetraoxosíran diželezitý;
tris(síran) železitý;
tris(síran) diželezitý;
síran železnatý;FeSO4
tetraoxosíran železnatý;
sirovodík;H2S
sulfan;
siřičitan draselný;K2SO3
siřičitan didraselný;
trioxosiřičitan draselný;
trioxosiřičitan didraselný;
siřičitan sodný;Na2SO3
siřičitan disodný;
trioxosiřičitan sodný;
trioxosiřičitan disodný;
siřičitan stříbrný;Ag2SO3
siřičitan distříbrný;
trioxosiřičitan stříbrný;
trioxosiřičitan distříbrný;
siřičitan thallný;Tl2SO3
siřičitan dithallný;
trioxosiřičitan thallný;
trioxosiřičitan dithallný;
skandium;Sc
sodík;Na
stannan;SnH4
stiban;SbH3
stroncium;Sr
stříbro;Ag
suboxid mědi;Cu4O
suboxid uhlíku;C3O2
subsulfid uhlíku;C3S2
sulfid aktinitý;Ac2S3
sulfid americitý;Am2S3
sulfid americnatý;AmS
sulfid antimonitý;Sb2S3
sulfid arseničný;As2S5
;As4S10
sulfid arsenitý;As2S3
;As4S6
sulfid barnatý;BaS
sulfid berkelitý;Bk2S3
sulfid beryllnatý;BeS
sulfid bismutitý;Bi2S3
sulfid boritý;B2S3
sulfid ceritý;Ce2S3
sulfid cínatý;SnS
sulfid cíničitý;SnS2
sulfid curitý;Cm2S3
sulfid draselný;K2S
sulfid europnatý;EuS
sulfid gadolinitý;Gd2S3
sulfid gallitý;Ga2S3
sulfid gallný;Ga2S
sulfid germanatý;GeS
sulfid germaničitý;GeS2
sulfid hlinitý;Al2S3
sulfid hořečnatý;MgS
sulfid chromitý;Cr2S3
sulfid chromnatý;CrS
sulfid inditý;In2S3
sulfid indný;In2S
sulfid iridičitý;IrS2
sulfid kademnatý;CdS
sulfid kalifornitý;Cf2S3
sulfid kobaltitý;Co2S3
sulfid kobaltnatý;CoS
sulfid kobaltu;Co9S8
sulfid křemičitý;SiS2
sulfid lanthanitý;La2S3
sulfid lithný;Li2S
sulfid manganatý;MnS
sulfid manganičitý;MnS2
disulfid manganu;
sulfid měďnatý;CuS
sulfid měďný;Cu2S
sulfid molybdeničitý;MoS2
sulfid molybdenitý;Mo2S3
sulfid molybdenový;MoS3
sulfid neodymitý;Nd2S3
sulfid neptunatý;NpS
sulfid neptuničný;Np2S5
sulfid neptuniový;NpS3
sulfid neptunitý;Np2S3
sulfid nikelnatý;NiS
sulfid olovnatý;PbS
sulfid osmičitý;OsS2
sulfid palladičitý;PdS2
sulfid palladnatý;PdS
sulfid platičitý;PtS2
sulfid platnatý;PtS
sulfid plutonatý;PuS
sulfid plutoničitý;PuS2
sulfid plutonitý;Pu2S3
sulfid polonatý;PoS
sulfid praseodymitý;Pr2S3
sulfid rheničitý;ReS2
sulfid rhenistý;Re2S7
sulfid rhoditý;Rh2S3
sulfid rtuťnatý;HgS
sulfid rtuťný;Hg2S
sulfid rubidný;Rb2S
sulfid rutheničitý;RuS2
sulfid samaritý;Sm2S3
sulfid sodný;Na2S
sulfid strontnatý;SrS
sulfid stříbrný;Ag2S
sulfid thallitý;Tl2S3
sulfid thallný;Tl2S
sulfid thoričitý;ThS2
sulfid titanatý;TiS
sulfid titaničitý;TiS2
sulfid titanitý;Ti2S3
sulfid uhličitý;CS2
disulfid uhličitý;
sirouhlík;
sulfid uranu;US
sulfid uranylu;UO2S
sulfid vanadičný;V2S5
sulfid vanaditý;V2S3
sulfid vanadnatý;VS
sulfid vápenatý;CaS
sulfid wolframičitý;WS2
sulfid wolframový;WS3
sulfid yttritý;Y2S3
sulfid zinečnatý;ZnS
sulfid zirkoničitý;ZrS2
sulfid zlatitý;Au2S3
sulfid zlatný;Au2S
sulfid železitý;Fe2S3
sulfid železnatý;FeS
sulfid-selenid uhličitý;CSSe
sulfid-tellurid uhličitý;CSTe
tantal;Ta
tantaličnan cesný;CsTaO3
trioxotantaličnan cesný;
tantaličnan draselný;KTaO3
trioxotantaličnan draselný;
tantaličnan lithný;LiTaO3
trioxotantaličnan lithný;
tantaličnan manganatý;Mn(TaO3)2
trioxotantaličnan manganatý;
bis(tantaličnan) manganatý;
tantaličnan rubidný;RbTaO3
trioxotantaličnan rubidný;
tantaličnan sodný;NaTaO3
trioxotantaličnan sodný;
technecium;Tc
tellan;H2Te
tellurovodík;
tellur;Te
telluran thallný;Tl2TeO4
telluran dithallný;
tetraoxotelluran thallný;
tetraoxotelluran dithallný;
telluran trirtuťnatý;Hg3TeO6
hexaoxotelluran rtuťnatý;
hexaoxotelluran trirtuťnatý;
telluričitan stříbrný;Ag2TeO3
telluričitan distříbrný;
trioxotelluričitan stříbrný;
trioxotelluričitan distříbrný;
tellurid barnatý;BaTe
tellurid bismutitý;Bi2Te3
tellurid cínatý;SnTe
tellurid draselný;K2Te
tellurid gallitý;Ga2Te3
tellurid hořečnatý;MgTe
tellurid inditý;In2Te3
tellurid kademnatý;CdTe
tellurid měďný;Cu2Te
tellurid nikelnatý;NiTe
tellurid olovnatý;PbTe
tellurid osmičitý;OsTe2
tellurid palladičitý;PdTe2
tellurid palladnatý;PdTe
tellurid platičitý;PtTe2
tellurid plutonatý;PuTe
tellurid rtuťnatý;HgTe
tellurid sodný;Na2Te
tellurid strontnatý;SrTe
tellurid stříbrný;Ag2Te
tellurid vápenatý;CaTe
tellurid zinečnatý;ZnTe
terbium;Tb
tetraboran;B4H6
tetraborid thoria;ThB4
tetraborid uranu;UB4
tetraboritan sodný;Na2B4O7
tetraboritan disodný;
heptaoxotetraboritan sodný;
heptaoxotetraboritan disodný;
tetraboritan vápenatý;CaB4O7
heptaoxotetraboritan vápenatý;
tetrabromid-oxid wolframový;WBr4O
tetrafluoralan;AlF4
tetrafluorid-oxid molybdenový;MoF4O
tetrafluorid-oxid rheniový;ReF4O
tetrafluorid-oxid sírový;SF4O
tetrafluorid-oxid wolframový;WF4O
tetrafluorid-oxid xenonový;XeF4O
tetrafluoroberyllnatan thallný;Tl2[BeF4]
tetrafluoroboritan cesný;Cs[BF4]
tetrafluoroboritan draselný;K[BF4]
tetrafluoroboritan nitrosilu;NO[BF4]
tetrafluoroboritan rubidný;Rb[BF4]
tetrafluoroboritan sodný;Na[BF4]
tetrafluoroboritan stříbrný;Ag[BF4]
tetrafluorohlinitan thallný;Tl[AlF4]
tetrafluoronikelnatan draselný;K2[NiF4]
tetrafosfid trithoria;Th3P4
tetrahydrát arseničnanu triměďnatého;Cu3(AsO4)2.4H2O
tetrahydrát tetraoxoarseničnanu měďnatého;
tetrahydrát tetraoxoarseničnanu triměďnatého;
bis(arseničnan) triměďnatý tetrahydrát;
tetrahydrát bromidu iriditého;IrBr3.4H2O
tetrahydrát bromidu kademnatého;CdBr2.4H2O
tetrahydrát bromidu manganatého;MnBr2.4H2O
tetrahydrát dithionanu vápenatého;CaS2O6.4H2O
tetrahydrát dusičnanu skanditého;Sc(NO3)3.4H2O
tetrahydrát trioxodusičnanu skanditého;
tris(dusičnan) skanditý tetrahydrát;
tetrahydrát dusičnanu thoričitého;Th(NO3)4.4H2O
tetrahydrát trioxodusičnanu thoričitého;
tetrakis(dusičnan) thoričitý tetrahydrát;
tetrahydrát dusičnanu vápenatého;Ca(NO3)2.4H2O
tetrahydrát trioxodusičnanu vápenatého;
bis(dusičnan) vápenatý tetrahydrát;
tetrahydrát dusičnanu yttritého;Y(NO3)3.4H2O
tetrahydrát trioxodusičnanu yttritého;
tris(dusičnan) yttritý tetrahydrát;
tetrahydrát dusitanu vápenatého;Ca(NO2)2.4H2O
tetrahydrát dioxodusitanu vápenatého;
bis(dusitan) vápenatý tetrahydrát;
tetrahydrát fluoridu nikelnatého;NiF2.4H2O
tetrahydrát fluoridu thoričitého;ThF4.4H2O
tetrahydrát fluoridu zinečnatého;ZnF2.4H2O
tetrahydrát fluoridu železnatého;FeF2.4H2O
tetrahydrát fosforečnanu trizinečnatého;Zn3(PO4)2.4H2O
tetrahydrát tetraoxofosforečnanu zinečnatého;
tetrahydrát tetraoxofosforečnanu trizinečnatého;
bis(fosforečnan) trizinečnatý tetrahydrát;
tetrahydrát chlorečnanu zinečnatého;Zn(ClO3)2.4H2O
tetrahydrát trioxochlorečnanu zinečnatého;
bis(chlorečnan) zinečnatý tetrahydrát;
tetrahydrát chloridu beryllnatého;BeCl2.4H2O
tetrahydrát chloridu manganatého;MnCl2.4H2O
tetrahydrát chloridu nikelnatého;NiCl2.4H2O
tetrahydrát chloridu thallitého;TlCl3.4H2O
tetrahydrát chloridu železnatého;FeCl2.4H2O
tetrahydrát jodidu manganatého;MnI2.4H2O
tetrahydrát selenanu zirkoničitého;Zr(SeO4)2.4H2O
tetrahydrát tetraoxoselenanu zirkoničitého;
bis(selenan) zirkoničitý tetrahydrát;
tetrahydrát síranu beryllnatého;BeSO4.4H2O
tetrahydrát tetraoxosíranu beryllnatého;
tetrahydrát síranu ceričitého;Ce(SO4)2.4H2O
tetrahydrát tetraoxosíranu ceričitého;
bis(síran) ceričitý tetrahydrát;
tetrahydrát síranu hořečnatého;MgSO4.4H2O
tetrahydrát tetraoxosíranu hořečnatého;
tetrahydrát síranu manganatého;MnSO4.4H2O
tetrahydrát tetraoxosíranu manganatého;
tetrahydrát síranu plutoničitého;Pu(SO4)2.4H2O
tetrahydrát tetraoxosíranu plutoničitého;
bis(síran) plutoničitý tetrahydrát;
tetrahydrát síranu rhoditého;Rh2(SO4)3.4H2O
tetrahydrát síranu dirhoditého;
tetrahydrát tetraoxosíranu rhoditého;
tetrahydrát tetraoxosíranu dirhoditého;
tris(síran) rhoditý tetrahydrát;
tris(síran) dirhoditý tetrahydrát;
tetrahydrát síranu uraničitého;U(SO4)2.4H2O
tetrahydrát tetraoxosíranu uraničitého;
bis(síran) uraničitý tetrahydrát;
tetrahydrát síranu zirkoničitého;Zr(SO4)2.4H2O
tetrahydrát tetraoxosíranu zirkoničitého;
bis(síran) zirkoničitý tetrahydrát;
tetrahydrát síranu železnatého;FeSO4.4H2O
tetrahydrát tetraoxosíranu železnatého;
tetrahydrát tetraboritanu sodného;Na2B4O7.4H2O
tetrahydrát tetraboritanu disodného;
tetrahydrát heptaoxotetraboritanu sodného;
tetrahydrát heptaoxotetraboritanu disodného;
tetrahydrát uhličitanu dysprositého;Dy2(CO3)3.4H2O
tetrahydrát uhličitanu didysprositého;
tetrahydrát trioxouhličitanu dysprositého;
tetrahydrát trioxouhličitanu didysprositého;
tris(uhličitan) dysprositý tetrahydrát;
tris(uhličitan) didysprositý tetrahydrát;
tetrachlorid-oxid wolframový;WCl4O
tetrachloropalladnatan amonný;(NH4)2[PdCl4]
tetrachloropalladnatan draselný;K2[PdCl4]
tetrachloroplatnatan draselný;K2[PtCl4]
tetrachlorozlatitan cesný;Cs[AuCl4]
tetrachlorozlatitan draselný;K[AuCl4]
tetrajodid difosforu;P2I4
tetrajodortuťnatan draselný;K2[HgI4]
tetrajodozlatitan draselný;K[AuI4]
tetrakarbonyl niklu;Ni(CO)4
tetrakyanokademnatan draselný;K[Cd(CN)4]
tetrakyanonikelnatan draselný;K2[Ni(CN)4]
tetrakyanortuťnatan draselný;K2[Hg(CN)4]
tetrakyanozinečnatan draselný;K2[Zn(CN)4]
tetramolybdenan draselný;K2Mo4O13
tetramolybdenan didraselný;
13-oxotetramolybdenan draselný;
13-oxotetramolybdenan didraselný;
tetranitrid tetrasíry;S4N4
tetranitrid trikřemíku;Si3N4
tetranitrid trithoria;Th3N4
tetraoxid beryllnato-dihlinitý;BeAl2O4
;BeO.Al2O3
tetraoxid hořečnato-dihlinitý;MgAl2O4
;MgO.Al2O3
tetraoxid hořečnato-dichromitý;MgCr2O4
;MgO.Cr2O3
tetraoxid kademnato-dichromitý;CdCr2O4
;CdO.Cr2O3
tetraoxid kademnato-diinditý;CdIn2O4
;CdO.In2O3
tetraoxid kobaltnato-dikobaltitý;Co3O4
;CoO.Co2O3
tetraoxid manganato-dihlinitý;MnAl2O4
;MnO.Al2O3
tetraoxid manganato-dichromitý;MnCr2O4
;MnO.Cr2O3
tetraoxid manganato-dititanitý;MnTi2O4
;MnO.Ti2O3
tetraoxid manganato-divanaditý;MnV2O4
;MnO.V2O3
tetraoxid trimanganu;Mn3O4
tetraoxid triolova;Pb3O4
tetraoxid vápenato-boritý;CaB2O4
;CaO.B2O3
tetraoxid vápenato-diinditý;CaIn2O4
;CaO.In2O3
tetraoxid zinečnato-dichromitý;ZnCr2O4
;ZnO.Cr2O3
tetraoxid železnato-dichromitý;FeCr2O4
;FeO.Cr2O3
tetraoxid železnato-diželezitý;Fe3O4
;FeO.Fe2O3
tetrasulfid didraselný;K2S4
tetrasulfid molybdenu;MoS4
tetrasulfid tetraarsenu;As4S4
tetrasulfid trikobaltu;Co3S4
tetrasulfid triplutonia;Pu3S4
tetrasulfid triželeza;Fe3S4
tetrathioarseničnan měďný;Cu3AsS4
tetrathiofosforečnan měďný;Cu3PS4
tetrathiokyanatortuťnatan draselný;K2[Hg(SCN)4]
tetrathionan draselný;K2S4O6
thalium;Tl
thiokyanatan amonný;NH4SCN
thiokyanatan draselný;KSCN
thiokyanatan fosforitý;P(SCN)3
thiokyanatan kobaltnatý;Co(SCN)2
thiokyanatan měďnatý;Cu(SCN)2
thiokyanatan měďný;CuSCN
thiokyanatan olovnatý;Pb(SCN)2
thiokyanatan palladnatý;Pd(SCN)2
thiokyanatan rtuťnatý;Hg(SCN)2
thiokyanatan rtuťný;HgSCN
;Hg2(SCN)2
thiokyanatan sodný;NaSCN
thiokyanatan stříbrný;AgSCN
thiokyanatan thallný;TlSCN
thiokyanatan železitý;Fe(SCN)3
thiosíran amonný;(NH4)2S2O3
thiosíran draselný;K2S2O3
thiosíran olovnatý;PbS2O3
thiosíran sodný;Na2S2O3
thiosíran stříbrný;Ag2S2O3
thorium;Th
thulium;Tm
titan;Ti
titaničitan barnatý;BaTiO3
trioxotitaničitan barnatý;
titaničitan dihořečnatý;Mg2TiO4
tetraoxotitaničitan hořečnatý;
tetraoxotitaničitan dihořečnatý;
titaničitan dikobaltnatý;Co2TiO4
tetraoxotitaničitan kobaltnatý;
tetraoxotitaničitan dikobaltnatý;
titaničitan dizinečnatý;Zn2TiO4
tetraoxotitaničitan zinečnatý;
tetraoxotitaničitan dizinečnatý;
titaničitan hořečnatý;MgTiO3
trioxotitaničitan hořečnatý;
titaničitan lithný;Li2TiO3
titaničitan dilithný;
trioxotitaničitan lithný;
trioxotitaničitan dilithný;
titaničitan sodný;Na2TiO3
titaničitan disodný;
trioxotitaničitan sodný;
trioxotitaničitan disodný;
titaničitan strontnatý;SrTiO3
trioxotitaničitan strontnatý;
titaničitan vápenatý;CaTiO3
trioxotitaničitan vápenatý;
triarsenid dikobaltu;Co2As3
triarsenid kobaltu;CoAs3
tribromid-chlorid cíničitý;SnBr3Cl
tribromid-oxid niobičný;NbBr3O
tribromid-oxid vanadičný;VBr3O
tribromomanganatan cesný;Cs[MnBr3]
tribromsilan;SiHBr3
trifluorid-jodid uhličitý;CF3I
trifluorid-oxid vanadičný;VF3O
trifluorid-sulfid fosforečný;PF3S
trifluorsilan;SiHF3
trifosfid dizlata;Au2P3
trifosforečnan pentadraselný;K5P3O10
dekaoxotrifosforečnan draselný;
dekaoxotrifosforečnan pentadraselný;
trihydrát difosforečnanu dimanganatého;Mn2P2O7.3H2O
trihydrát heptaoxodifosforečnanu manganatého;
trihydrát heptaoxodifosforečnanu dimanganatého;
trihydrát dihydrogenfosforečnanu manganatého;Mn(H2PO4)2.3H2O
trihydrát dihydrogentetraoxofosforečnanu manganatého;
bis(dihydrogenfosforečnan) manganatý trihydrát;
trihydrát dusičnanu beryllnatého;Be(NO3)2.3H2O
trihydrát trioxodusičnanu beryllnatého;
bis(dusičnan) beryllnatý trihydrát;
trihydrát dusičnanu inditého;In(NO3)3.3H2O
trihydrát trioxodusičnanu inditého;
tris(dusičnan) inditý trihydrát;
trihydrát dusičnanu měďnatého;Cu(NO3)2.3H2O
trihydrát trioxodusičnanu měďnatého;
bis(dusičnan) měďnatý trihydrát;
trihydrát fluoridu chromitého;CrF3.3H2O
trihydrát fluoridu inditého;InF3.3H2O
trihydrát fluoridu vanaditého;VF3.3H2O
trihydrát fluoridu zirkoničitého;ZrF4.3H2O
trihydrát fosforečnanu triamonného;(NH4)3PO4.3H2O
trihydrát tetraoxofosforečnanu amonného;
trihydrát tetraoxofosforečnanu triamonného;
trihydrát fosforečnanu trimanganatého;Mn3(PO4)2.3H2O
trihydrát tetraoxofosforečnanu manganatého;
trihydrát tetraoxofosforečnanu trimanganatého;
bis(fosforečnan) trimanganatý trihydrát;
trihydrát hydrogenfosforečnanu manganatého;MnHPO4.3H2O
trihydrát hydrogentetraoxofosforečnanu manganatého;
trihydrát chloridu lithného;LiCl.3H2O
trihydrát chloristanu barnatého;Ba(ClO4)2.3H2O
trihydrát tetraoxochloristanu barnatého;
bis(chloristan) barnatý trihydrát;
trihydrát chloritanu sodného;NaClO2.3H2O
trihydrát dioxochloritanu sodného;
trihydrát chlornanu vápenatého;Ca(ClO)2.3H2O
trihydrát kyanidu zlatitého;Au(CN)3.3H2O
trihydrát manganistanu lithného;LiMnO4.3H2O
trihydrát tetraoxomanganistanu lithného;
trihydrát manganistanu sodného;NaMnO4.3H2O
trihydrát tetraoxomanganistanu sodného;
trihydrát síranu měďnatého;CuSO4.3H2O
trihydrát tetraoxosíranu měďnatého;
trihydrát sulfidu molybdeničného;Mo2S5.3H2O
trihydrát thiokyanatanu manganatého;Mn(SCN)2.3H2O
trihydrát uhličitanu hořečnatého;MgCO3.3H2O
trihydrát trioxouhličitanu hořečnatého;
trihydrát uhličitanu yttritého;Y2(CO3)3.3H2O
trihydrát uhličitanu diyttritého;
trihydrát trioxouhličitanu yttritého;
trihydrát trioxouhličitanu diyttritého;
tris(uhličitan) yttritý trihydrát;
tris(uhličitan) diyttritý trihydrát;
trihydrogenjodistan stříbrný;Ag2H3IO6
trihydrogenjodistan distříbrný;
trihydrogenhexaoxojodistan stříbrný;
trihydrogenhexaoxojodistan distříbrný;
trichlorgerman;GeHCl3
trichlorid-fluorid uhličitý;CCl3F
trichlorid-jodid uhličitý;CCl3I
trichlorid-oxid fosforečný;PCl3O
trichlorid-oxid niobičný;NbCl3O
trichlorid-oxid vanadičný;VCl3O
trichlorid-sulfid fosforečný;PCl3S
trichlorokademnatan amonný;NH4[CdCl3]
trichlorokademnatan draselný;K[CdCl3]
trichloromanganatan amonný;NH4[MnCl3]
trichloromanganatan cesný;Cs[MnCl3]
trichloromanganatan draselný;K[MnCl3]
trichloromanganatan rubidný;Rb[MnCl3]
trichloromanganatan sodný;Na[MnCl3]
trichlorsilan;SiHCl3
trichroman draselný;K2Cr3O10
trichroman didraselný;
dekaoxotrichroman draselný;
dekaoxotrichroman didraselný;
trijodid cesný;CsI3
trijodid rubidný;RbI3
trijodortuťnatan draselný;K[HgI3]
trijodsilan;SiHI3
trikarbid tetrahliníku;Al4C3
trimolybdenan draselný;K2Mo3O10
trimolybdenan didraselný;
dekaoxotrimolybdenan draselný;
dekaoxotrimolybdenan didraselný;
trinitrokademnatan draselný;K[Cd(NO2)3]
trioxid hořečnato-titaničitý;MgTiO3
;MgO.TiO2
trioxid manganato-titaničitý;MnTiO3
;MnO.TiO2
trioxid vápenato-křemičitý;CaSiO3
;CaO.SiO2
triselenid ditantalu;Ta2Se3
triselenid tantalu;TaSe3
triselenid tetrafosforu;P4Se3
trisilicid pentaniobu;Nb5Si3
trisilicid pentatantalu;Ta5Si3
trisulfid didraselný;K2S3
trisulfid tantalu;TaS3
trisulfid tetrafosforu;P4S3
trisulfid uranu;US3
trithioantimonitan stříbrný;Ag3SbS3
trithioarsenitan stříbrný;Ag3AsS3
trithionan draselný;K2S3O6
trithionan thallný;Tl2S3O6
trititaničitan sodný;Na2Ti3O7
trititaničitan disodný;
heptaoxotrititaničitan sodný;
heptaoxotrititaničitan disodný;
uhličitan amonný;(NH4)2CO3
uhličitan diamonný;
trioxouhličitan amonný;
trioxouhličitan diamonný;
uhličitan barnatý;BaCO3
trioxouhličitan barnatý;
uhličitan beryllnatý;BeCO3
trioxouhličitan beryllnatý;
uhličitan draselný;K2CO3
uhličitan didraselný;
trioxouhličitan draselný;
trioxouhličitan didraselný;
uhličitan hořečnato-olovnatý;MgPb(CO3)2
uhličitan hořečnatý;MgCO3
trioxouhličitan hořečnatý;
uhličitan kademnatý;CdCO3
trioxouhličitan kademnatý;
uhličitan kobaltnatý;CoCO3
trioxouhličitan kobaltnatý;
uhličitan lithný;Li2CO3
uhličitan dilithný;
trioxouhličitan lithný;
trioxouhličitan dilithný;
uhličitan manganatý;MnCO3
trioxouhličitan manganatý;
uhličitan nikelnatý;NiCO3
trioxouhličitan nikelnatý;
uhličitan olovnatý;PbCO3
trioxouhličitan olovnatý;
uhličitan radijnatý;RaCO3
trioxouhličitan radijnatý;
uhličitan rtuťný;Hg2CO3
uhličitan dirtuťný;
trioxouhličitan rtuťný;
trioxouhličitan dirtuťný;
uhličitan rubidný;Rb2CO3
uhličitan dirubidný;
trioxouhličitan rubidný;
trioxouhličitan dirubidný;
uhličitan sodno-hořečnatý;Na2Mg(CO3)2
uhličitan sodný;Na2CO3
uhličitan disodný;
trioxouhličitan sodný;
trioxouhličitan disodný;
uhličitan strontnatý;SrCO3
trioxouhličitan strontnatý;
uhličitan stříbrný;Ag2CO3
uhličitan distříbrný;
trioxouhličitan stříbrný;
trioxouhličitan distříbrný;
uhličitan thallný;Tl2CO3
uhličitan dithallný;
trioxouhličitan thallný;
trioxouhličitan dithallný;
uhličitan vápenato-hořečnatý;CaMg(CO3)2
uhličitan vápenato-trihořečnatý;CaMg3(CO3)4
uhličitan vápenatý;CaCO3
trioxouhličitan vápenatý;
