aktinium;Ac
trioxodusičnan draselný;
dusičnan hexaamminnikelnatý;[Ni(NH3)6](NO3)2
dusičnan hlinitý;Al(NO3)3
trioxodusičnan hlinitý;
tris(dusičnan) hlinitý;
dusičnan kademnatý;Cd(NO3)2
trioxodusičnan kademnatý;
bis(dusičnan) kademnatý;
dusičnan lithný;LiNO3
trioxodusičnan lithný;
dusičnan manganatý;Mn(NO3)2
trioxodusičnan manganatý;
bis(dusičnan) manganatý;
dusičnan měďnatý;Cu(NO3)2
trioxodusičnan měďnatý;
bis(dusičnan) měďnatý;
dusičnan nikelnatý;Ni(NO3)2
trioxodusičnan nikelnatý;
bis(dusičnan) nikelnatý;
dusičnan olovnatý;Pb(NO3)2
trioxodusičnan olovnatý;
bis(dusičnan) olovnatý;
dusičnan rubidný;RbNO3
trioxodusičnan rubidný;
dusičnan skanditý;Sc(NO3)3
trioxodusičnan skanditý;
tris(dusičnan) skanditý;
dusičnan sodný;NaNO3
trioxodusičnan sodný;
dusičnan strontnatý;Sr(NO3)2
trioxodusičnan strontnatý;
bis(dusičnan) strontnatý;
dusičnan stříbrný;AgNO3
trioxodusičnan stříbrný;
dusičnan tetraamminměďnatý;[Cu(NH3)4](NO3)2
dusičnan tetrahydroxotricínatý;[Sn3(OH)4](NO3)2
dusičnan thallný;TlNO3
trioxodusičnan thallný;
dusičnan thoričitý;Th(NO3)4
trioxodusičnan thoričitý;
tetrakis(dusičnan) thoričitý;
dusičnan uranylu;UO2(NO3)2
dusičnan vápenatý;Ca(NO3)2
trioxodusičnan vápenatý;
bis(dusičnan) vápenatý;
dusičnan yttritý;Y(NO3)3
trioxodusičnan yttritý;
tris(dusičnan) yttritý;
dusičnan zinečnatý;Zn(NO3)2
trioxodusičnan zinečnatý;
bis(dusičnan) zinečnatý;
dusičnan zirkoničitý;Zr(NO3)4
trioxodusičnan zirkoničitý;
tetrakis(dusičnan) zirkoničitý;
dusík;N
dusitan barnatý;Ba(NO2)2
dioxodusitan barnatý;
bis(dusitan) barnatý;
dusitan draselný;KNO2
dioxodusitan draselný;
dusitan lithný;LiNO2
dioxodusitan lithný;
dusitan rtuťnatý;Hg(NO2)2
dioxodusitan rtuťnatý;
bis(dusitan) rtuťnatý;
dusitan rtuťný;HgNO2
dioxodusitan rtuťný;Hg2(NO2)2
dusitan sodný;NaNO2
dioxodusitan sodný;
dusitan strontnatý;Sr(NO2)2
dioxodusitan strontnatý;
bis(dusitan) strontnatý;
dusitan stříbrný;AgNO2
dioxodusitan stříbrný;
dusitan thallný;TlNO2
dioxodusitan thallný;
dusitan vápenatý;Ca(NO2)2
dioxodusitan vápenatý;
bis(dusitan) vápenatý;
dusnan stříbrný;Ag2N2O2
dysprosium;Dy
einsteinium;Es
erbium;Er
europium;Eu
fermium;Fm
fluor;F
fluorid aktinitý;AcF3
